REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
109948,2026,06,1,35,4,04,,2,1,5,1,,,2,3,16,01,03,,,,400,400,1,400,400,0,,0,0,0,,67,,3654,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,1510
109949,2026,06,1,59,9,07,,1,1,2,1,,,6,2,11,08,36,,,,700,700,1,700,700,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,1,03,2,875
109950,2026,06,2,35,0,09,,1,1,2,1,,,2,3,07,10,43,0,2,2,400,0,1,400,0,,,,,,,240,,4400,1,1,3,3,,,,,,,,,,,,,,,,,1,02,,84
109951,2026,06,4,46,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,11,,87
109952,2026,06,4,35,4,06,,2,1,6,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,2,,1,06,1,950
109953,2026,06,1,35,4,03,6,2,6,4,1,,,1,2,21,08,35,,,,400,400,1,400,400,0,,0,0,0,,18,,2600,1,1,3,3,,,,,,,,,,,,,,,,,3,07,,474
109954,2026,06,4,35,4,10,,1,5,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,,809
109955,2026,06,1,35,0,05,,2,1,6,1,,,2,1,17,07,34,,,,325,325,1,325,325,0,,0,0,0,,19,,1800,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,362
109956,2026,06,4,35,0,11,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,11,,55
109957,2026,06,4,35,4,08,,2,1,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,18,,1191
